Page or Account URL,List,nces_id,agency_name,state,total_students
https:/www.facebook.com/polkcountypublicschools,100-largest-school-districts,1201590,POLK,FLORIDA,101408
https:/www.facebook.com/mypinellasschools,100-largest-school-districts,1201560,PINELLAS,FLORIDA,100948
https:/www.facebook.com/dekalbschoolsga,100-largest-school-districts,1301740,DEKALB COUNTY,GEORGIA,99166
https:/www.facebook.com/jeffersonschooldistrict251,100-largest-school-districts,2102990,JEFFERSON COUNTY,KENTUCKY,97936
https:/www.facebook.com/fultoncountyschools,100-largest-school-districts,1302280,FULTON COUNTY,GEORGIA,94491
https:/www.facebook.com/schooldistrictofleecounty,100-largest-school-districts,1201080,LEE,FLORIDA,94410
https:/www.facebook.com/denverpublicschools,100-largest-school-districts,803360,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,COLORADO,92039
https:/www.facebook.com/pwcsnews,100-largest-school-districts,5103130,PRINCE WILLIAM CO PBLC SCHS,VIRGINIA,90843
https:/www.facebook.com/abqschools,100-largest-school-districts,3500060,ALBUQUERQUE PUBLIC SCHOOLS,NEW MEXICO,89788
https:/www.facebook.com/metroschools,100-largest-school-districts,4703180,DAVIDSON COUNTY,TENNESSEE,84667
https:/www.facebook.com/jeffcopublicschoolscolorado,100-largest-school-districts,804800,JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1,COLORADO,84646
https:/www.facebook.com/fortworthisd,100-largest-school-districts,4819700,FORT WORTH ISD,TEXAS,84510
https:/www.facebook.com/aacps,100-largest-school-districts,2400060,ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,MARYLAND,83300
https:/www.facebook.com/lcpsofficial,100-largest-school-districts,5102250,LOUDOUN CO PBLC SCHS,VIRGINIA,81906
https:/www.facebook.com/alpineschooldistrict,100-largest-school-districts,4900030,ALPINE DISTRICT,UTAH,81715
https:/www.facebook.com/austinisd,100-largest-school-districts,4808940,AUSTIN ISD,TEXAS,80032
https:/www.facebook.com/katyindependentschooldistrict,100-largest-school-districts,4825170,KATY ISD,TEXAS,79913
https:/www.facebook.com/baltcityschools,100-largest-school-districts,2400090,BALTIMORE CITY PUBLIC SCHOOLS,MARYLAND,79297
https:/www.facebook.com/gcschools,100-largest-school-districts,4502310,GREENVILLE 01,SOUTH CAROLINA,76158
https:/www.facebook.com/fortbendisd,100-largest-school-districts,4819650,FORT BEND ISD,TEXAS,76122
https:/www.facebook.com/milwaukeepublicschools,100-largest-school-districts,5509600,MILWAUKEE SCHOOL DISTRICT,WISCONSIN,75431
